āe; yes
mata; point, blade
mātaki; to watch
mātakitaki; to watch, to observe, examine, inspect
mataku; scared, afraid
mātao; cold
matapihi; window
matau; fish hook
mātau; to know, understand
mātauranga; education, knowledge
mate; to be sick, ill, dead
matekai; hungry
matimati; finger, toe
mātou; we, us (three or more, excluding addressee)
matū; fat, chemical
matua; parent, father
mātua; parents, fathers (plural form of matua)
mau; to wear clothes
māu; for you, by you
māua; we, us (two people, excluding addressee)
mauī; left (direction)
maumahara; to remember / remember
maunga; mountain
mauri; life spirit
me; with, like, should
mea; to say
meatia; to be said to be done – non-specific action
mehemea; if, expressing simple uncertainty
mēnā; if
meneti; minute
mere; bush, shrub
mīere; honey
mīharo; to wonder at, amazing
mihi; to greet
mīhini; machine
miraka; milk
miriona; million
miro; thread
mita; metre
mīti; meat
mō; for
moana; sea
moe; to marry
moemoeā; to dream dream
moenga; bed
mōhio; to know
mōhiotanga; knowledge
moka; end, margin, piece
mōkai; pet
mokemoke; lonely
moko; lizard
mokomoko; lizard
mokopuna; grandchild
mōku; for me
momo; type, kind
mōna; for him / her
moni; money
motokā; car, motorcar
motu; cut, cut off
motuhake; special
moutere; island
mua; front, before
mura; blaze, flame
muri; behind, after
mutu; be ended, finished (but not necessarily completed)
mutunga; end
nā; by, belonging to, by way of
nāianei; now
nāku; mine
nama; number
nāna; by him / her, belonging to him / her
nanakia; rascal clever, cunning
nau; come, go
nāwai; presently, in due course, after a while
nē; eh?
nei; here, by speaker
neke; to move
nekeneke; to move gradually
ngā; the, plural
ngahere; forest
ngākau; heart - seat of the affections and feelings
ngārara; reptile, monster
ngaro; to be lost, missing, gone
ngaru; wave
ngata; to be satisfied
ngātahi; together
Ngāti; tribal name prefix
ngau; to bite
ngaungau; to chew, a snack
ngāwari; kind, pleasant of personality
ngenge; tired
ngeru; cat
ngunguru; to growl
ngutu; lip, lips
niho; tooth
nō; from, of, belonging to
noa; only, just, merely
noho; to live
noke; worm
nōku; mine
nōna; his, her
nui; big, great, many
nuinga; majority
nuku; to move
nunui; big (plural form)
o; of, belonging to
ō; your, one person
oho; to wake up
ohorere; to start suddenly, be startled
ōku; mine, plural
oma; to run, escape
ōna; his / her, plural
one; beach, sand
oneone; earth, soil
ono; six
ope; group travelling together
ora; alive, well, healthy, safe
oranga; health, life
oreore; to shake, quiver
ōrite; to be the same as
otaota; vegetation, herbs, grass, weeds
oti; to be completed
otirā; but, on the other hand
ōu; yours, one person
pā; a fortified settlement
pae; circumference
paepae; speakers’ bench on the marae
pahi; bus
pāhi; purse, to pass
pahū; drum
pai; good
painga; benefit, skill, good qualities
paipa; pipe
pakanga; to fight, battle, war, hostility
pakari; mature, ripe
pakaru; broken down
Pākehā; Pakehā
pakeke; hard, stiff
pākete; bucket
paki; to slap, to pat
pakipaki; to applaud, to clap, applause
pakitara; wall
pakiwaitara; story
paku; small
pakupaku; very small
pāmu; farm
pana; to push away, to expel
panana; banana
panga; puzzle, riddle
pāngarau; mathematics
pango; black
pani; orphan, to be orphaned
pānui; to publish, advertise, notice, advertisement
paoro; ball
papa; floor, ground, flat surface
pāpā; father, uncle
parakuihi; breakfast
parāoa; bread, flour
parauri; brown
pare; to ward off, to divert
pari; cliff
parirau; wing
paru; dirt, mud, dirty
paruparu; dirt, mud
pata; butter
pātai; question, to ask a question
pātata; close (of distance)
pātene; button
pātiki; flounder (fish)
pātītī; grass
patu; to kill
pau; to be consumed, used up completely, all gone
pāua; abalone
pea; pair
pēhea; how?
peita; paint
peka; branch
pēkana; bacon
pekapeka; bat
peke; to jump, to leap over
pēke; bag
pēnā; like that, near listener
pene; pen
pēnei; like this, near speaker
pepa; paper
pēpi; baby
pērā; like that, yonder
pere; bell
pēwhea; how?
pī; bee
piki; to increase
pikitia; picture, film
pīpī; chick, baby
pīrangi; to want, desire
pirau; rotten
piri; to stick to, to cling
pirihimana; police officer
piriti; bridge
piro; stinking, putrid
pito; belly button
piupiu; flax skirt
pō; night
poaka; pig
pōhatu; stone
pōhēhē; to think mistakenly, be mistaken
poi; poi, small, soft ball on string
poka; hole, to make a hole in, to pierce
pono; true, faithful
poraka; jersey
poro; to cut off, to cut short
pōro; ball
porohita; circle
porowhita; circle
pōtae; hat
poti; boat
poto; short
pou; pole, post
pouaka; whakaata television
pounamu; greenstone
pōuri; sad, dark
pū; to blow gently
puare; open, opening
puehu; dust
puhi; to blow (wind)
pūkaha; engine
pukapuka; lungs
puke; hill
pūkenga; skilled, expert
puku; stomach, belly
pūmau; fixed, permanent
puna; pool, spring
pūngāwerewere; spider
punua; young animal
puoro; to sing, to rumble
pupū; to bubble up, arise from
pupuhi; to shoot
pupuri; to hold onto
pūrākau; traditional story
purapura; seed
purei; to play / play
pūrere; appliance, machine (electric)
pūrerehua; butterfly
puru; to put, place somewhere
puta; to appear, to come out
pūtaiao; science
pūtake; root
putanga; opening, exit
pūtea; budget, resources
putiputi; flower
putu; to heap up, a heap, pile
rā; day
rahi; large
rākau; tree, timber
raki; north
rama; light, torch
rānei; or
rangatahi; youth
rangatira; chief, leader, boss
rangi; sky, day
rango; fly, blowfly
rangona; to be heard
rapa; to look for
rapu; to look for
rārangi; line, row
raro; under
raru; trouble, to be in difficulty, in trouble
raruraru; trouble, be in difficulty, in trouble
rata; friendly, at ease, calm
rātou; they, them, three or more people
rau; to put into
rāua; they, them, two people
rawa; quite, very
rawe; lovely, excellent
rāwhiti; east
rēhia; pleasure, amusement
reira; there (previously mentioned)
reka; sweet
rekareka; pleasant, delighted
reo; language, voice
rere; to escape
rerekē; different, changed
rerenga; escape, running away
rererangi; airplane
reri; ready
reta; letter
reti; to skate, slide
retireti; skates, skating
rima; five
ringa; hand, arm
ringaringa; hand, arm
rino; iron
rīpene; ribbon, tape
riri; anger, angry
riro; be obtained, be carried away, gone away
rita; litre
rite; like
rīwai; potato
rō; in
roa; long
roanga; length of time
rohe; district, area
roimata; tears
rongo; to hear, perceive
rongoā; medicine
rongonui; famous
rōpū; group
rori; road
rorohiko; computer
roto; in
rua; hole
ruku; to dive
rūma; room
runga; on
tā; to publish, print
tae; to reach, arrive
taea; to be able, to be achieved
taenga; arrival
taha; to pass by
tāhau; your, singular
tahi; one, single
tāhuhu; Ministry of Education
tahuri; to capsize
tai; tide
taiapa; fence
taihoa; wait
taitama; young man
taka; to come around in a cycle
tākaro; to play
take; root, stump
taki; to lead, to bring along
takiwā; district, region
takoto; to lie down
taku; my, neutral, singular
tāku; my, singular
tākuta; doctor
tama; son, nephew, boy
tamāhine; daughter
tamaiti; child
tamariki; children
tamatāne; boy
tame; male animal
tana; his / her, neutral, singular
tāna; his / her, singular
tāne; man
tangata; person
tāngata; people
tangi; to make a sound, sound
tango; to take hold of
taniwha; monster, traditional guardian of bodies of water
tao; to cook
tāone; town
taonga; property, possession
tapa; to name
tapahi; to cut up, chop
tāpiri; to join something on, to add
tapu; sacred, holy, under ritual restriction
taputapu; gear, equipment
tapuwae; footprint
tāra; dollar
taraiwa; to drive, driver
taraka; truck
tarau; trousers
tari; department
taringa; ear
taro; presently, by and by
tata; near
tātahi; seaside, beach
tātai; to arrange, to set in order
tatari; to wait
tatau; to count
tātou; we, us, inclusive, three or more people
tau; to settle down
tāu; your, one person
taua; that, previously mentioned (singular)
tāua; we, us, you and I, inclusive, dual
tauhou; strange, unfamiliar, stranger
tauira; example
taumaha; heavy, difficult of spirit or health
taumata; grade, level of achievement
taunga; to be accustomed to, familiar with
taupoki; to cover, close with a lid, lid, cover
taura; rope, cable
tautoko; to support
tawhiti; distant, a distant place
tawhito; old, former
te; the, singular definite article
tēhea; which, singular
teina; younger sibling, same sex
teitei; tall, high, lofty, height
tekau; ten
tēnā; that, by the listener
tēnei; this, by speaker
tēpu; table
tērā; that, yonder
tere; to flow, float, move quickly, fast
tētahi; a, one specific thing
tētehi; a, one specific thing
tī; cabbage tree
tiaki; to look after, to care for
tihi; topknot
tika; to be right, correct, straight, in order
tikanga; reason, meaning
tiki; 
to; fetch 
tīma; team
tīmata; to begin, to start
tīmatanga; beginning
tina; dinner, lunch
tinana; body, trunk, torso
tini; very many, numerous, plenty, multitude, throng
tīni; to change
tinihanga; to trick, amuse with trickery
tino; very
tipu; a plant, shoot
tipua; a person of high status
tipuna; grandparent, ancestor
tīpuna; grandparents
tira; group or row of people
tiriti; street
tiro; to look
tirotiro; to look about, to investigate
titiro; to look at
tō; to drag
toa; male animal
toe; to remain, be left over
toenga; leftovers, remnants
tohorā; whale
tohu; a qualification, eg degree
tohunga; expert, priest
tohutohu; to instruct, to guide, direct, instructions, directions
toi; art, knowledge
toka; rock
tōkena; stockings, socks
tokomaha; many (of people)
tokorua; two (of people)
tokotoru; three (people)
tōku; my
tomo; to enter, go into
tōna; his / her
tonga; south
tono; to apply for
tonu; still
toro; to visit
toroa; albatross
toru; three
tote; salt
tōtika; straight, direct, right
toto; blood
tōu; your
tū; to be wounded, a wound
tua; beyond
tuahine; sister, of a male
tuakana; older sibling of the same sex
tuanui; roof
tuarā; back
tuarua; second
tuatahi; first
tuatoru; third
tuawhā; fourth
tuhi; to indicate, point out
tuhinga; writing, text
tuhituhi; to write, draw
tuhituhinga; writing, text
tuki; to hit, to knock, to beat, to pound
tuku; to put off, to leave aside
tukutuku; spider web
tūmanako; to hope for, anticipate, expect
tumeke; to take fright, surprise
tuna; eel
tungāne; brother, of a female
tunu; to cook, roast
tūpato; to be careful, caution, cautious
tupu; to grow, develop, a plant, shoot
tūpuna; grandparents
tūranga; stopping place
ture; law, rule
tūrehu; fairy
turituri; be quiet! noisy
tūru; chair, seat, stool
tūtaki; to close up, to block
tutuki; to complete, to achieve
tūturu; fixed, permanent, definite
ū; breast, udder
ua; to rain, rain
uaua; muscle, vein, artery
uhi; to cover
ui; to ask, enquire
uira; lightning, to flash
uku; to wash
umere; to shout (in wonder, in appreciation)
upoko; verse of a song
uri; descendant, offspring
uru; west
uta; to load
utu; cost, price, to pay for
uwha; female animal
wā; place, space, area
waea; wire
waenga; middle, dividing line
waenganui; middle, centre, between
waewae; foot
waha; load, burden
wāhanga; chapter, episode
wāhi; part, portion
wahie; driftwood
wahine; woman, wife
wāhine; women, wives
waho; out, outside, the outside
Wai?; who?
wai; juice
waiariki; hot spring
waiata; to sing song
waihanga; to make, build something
waiho; to remain, rest
waimarie; lucky, fortunate, luck, good fortune
wairua; spirit
waka; vehicle (land, air and sea)
wānanga; place of learning
wao; forest
wareware; to forget, forgetful
waru; to scrape, to peel
wātea; to be clear, unoccupied, free of obstruction
wawata; to long for, yearn for
wawe; early, soon, quickly
wehe; to separate, divide
wehenga; part, division, separation
wehi; terrible
weka; weka, a native woodhen
wera; to burn, burnt, hot, heat
wero; to challenge, formal challenge at a welcome ceremony
whā; four
whaea; mother, aunt
whai; to follow, to chase
whāinga; objective, aim, purpose
whāiti; narrow, crowded together
whakaae; to agree
whakaahua; to take photos, photograph
whakaari; play, drama, performance
whakaaro; to think, thought
whakaata; mirror
whakaatu; to display, show, demonstrate
whakaaturanga; television programme
whakahaere; to run something, manage, make something go
whakahau; to encourage
whakaheke; to decrease, drop, lower
whakahīhī; arrogant
whakahirahira; great, magnificent, wonderful, very important
whakahoki; to return, to reply
whakairo; to carve, a carving
whakakī; to fill something
whakamā; to be embarrassed, ashamed
whakamahi; to put someone to work, to make someone work
whakamāori; to translate into Māori
whakamārama; to explain
whakamātau; to test, examine
whakamātautau; examination, test
whakamau; to fix, fasten
whakamīharo; amazing, astonishing
whakamua; frontward, towards the front
whakamuri; towards the back
whakamutunga; ending, conclusion
whakangā; to rest
whakangahau; to entertain, to amuse
whakanui; to enlarge
whakaora; to rescue, to cure
whakapae; lying crosswise, horizontal
whakapai; to improve, to fix up
whakapaipai; to decorate, to adorn
whakapakari; to strengthen
whakapapa; genealogy
whakapiri; to cling to, stick to
whakapono; to believe, faith
whakaputa; to make something come out, to appear
whakararo; downwards
whakarite; to compare
whakarongo; to listen
whakarunga; upwards
whakatā; to rest
whakataetae; competition
whakatakoto; to lay something down
whakatata; to come closer to
whakatau; to decide
whakatika; to straighten, to correct, to fix
whakatikatika; to rearrange, to put in order, to fix
whakatipu; to raise
whakatoi; to give cheek
whakatū; to stand something up
whakatūpato; to warn, to caution
whakauru; to enter, to join, to enrol
whakautu; to reply, to respond
whakawhiti; to cross
whāki; to reveal, to disclose, to confess
whānau; to be born / be born
whanaunga; relative, relation
whanga; to wait
whāngai; to feed, to foster
whānui; broad, wide
whara; to be injured
whārangi; page
whare; house, building
wharekura; Māori-medium secondary school
whāriki; mat, carpet, rug
whatu; to weave, knit
whāwhā; to fiddle with, to touch
whawhai; to fight, a battle
whea; where?
whenua; land
whero; red
whetū; star
whiti; to cross
whitu; seven
whiu; to be satisfied
whiwhi; to be in possession of
whutupōro; football, rugby
wiki; week
wīra; wheel
wiriwiri; to tremble, to shake, to quiver
