Ahuroa; Long mound; ahu: mound, roa: long
Kaimaumau; Eat food; kai: food, maumau: to waste
Kaimiro; Eat miro berries; kai: food or to eat, miro: a tree
Kainamu; Eat sandflies; kai: to eat, namu: sandflies
Kāingaroa; Long area of land; kāinga: area of land, roa: long
Kāingaroa Plain; Long meal; Kāinga: place where food has been cooked and eaten, roa: long
Kaipākirikiri; Eating rock cod; kai: food, pākirikiri: rock cod
Kaipara Flats; Eat fern-root; kai: te eat, para: fern-root
Kaiparoro; Eating up bad weather; kai: to eat, paroro: bad weather
Kaipō Bay; Eat night; kai: to eat, pō: night
Kaipuke; Ship (wave eater); kai: to eat, puke: swell, flood
Kaipūpū; Eat shellfish; kai: food, pūpū: shellfish
Kairākau; Eat wood; kai: to eat, rākau: wood.
Kairaki; Sky eater; kai: eat, raki (South Island form of rangi), sky 
Kairara; Food spread out on a stage to dry; kai: food, rara: to be spread out on a stage for drying in the sun
Kairua; Food pit; kai: food, rua: pit
Kaitakata; Man eater (South Island form); South Island variant of Kaitangata – kai: to eat, tangata: man
Kaitangata; Man eater; kai: to eat, tangata: man
Kaitangiweka; Crying of the weka for food; kai: food, tangi: to cry, weka: wood hen
Kaitapeha; Eat the rind; kai: to eat, tapeha: rind or skin
Kaitawa; Eat tawa berries; kai: food, tawa: tree or berries
Kaitieke; Eat the saddleback bird; kai: to eat, tieke: the saddleback bird
Kaitoke; Eat worms; kai: to eat, or food, take: worm
Kaitoki; Food for the adze; kai: food, toki: adze
Kaituna; Eat eels; kai: to eat, tuna: eel
Kai-waha-onepū; Biting the sand; kai: food, waha: mouth, onepū: sand
Kaiwaka; Eating the canoes; kai: to eat, waka: canoe
Kaiwera; Hot food; kai: food, wera: hot
Kaiwharawhara; Eat the fruit of the astelia; kai: food or to eat, wharawhara: the fruit of the astelia
Kakīroa; Long neck; kakī: neck or throat, roa: large
Kararoa; Tall elderly man; kara: this word has many meanings, one of which is old man, roa: tall
Kauroa; Long swim; kau: to swim, roa: long
Kereone; Sandy earth; kere: earth, one: sand or sandy
Kererū; Wood pigeon; kererū: wood pigeon
Keteketerau; Click the tongue repeatedly; ketekete: click the tongue, rau: many times
Ketetahi springs; One spring; Kete: basket, tahi: one
Kihikihi; Cicada; kihikihi: cicada
Kihitū; Strip off the girdle; kihi: to strip off, tū: girdle or belt to which a maro (loincloth) was attached
Kioreroa; Long rat; kiore: native rat, roa: long
Kirkiriroa; Long gravel; kirikiri: gravel, roa: long
Kiwinui; Many kiwi birds; kiwi: bird, nui: many
Kōhīnui; Plenty of dark mud; kōhī: dark mud (used in dyeing), heavy rain, skeleton, youth, etc., nui: large, many or plenty
Kohukohunui; Great mist; Lit: kohukohu: mist, nui: big or many
Kōpūtai; Full tide; kōpū: full, tai: tide
Kōputaroa; Long snare for catching parakeets; kōputa: snare for catching parakeets, roa: long
Kōpūwai; Water swallower; kōpū: belly or full, wai: water
Korakonui; Large albino (bird); korako: albino, nui: big
Kororāreka; Tasty blue penguin; kororā: blue penguin, reka: sweet or tasty
Kōtuku; White heron; kōku: white heron
Kōtuku-moana; Lake of white herons; kōtuku: white heron, moana: lake
Kōurarau; Many crayfish; kōura: crayfish, rau: many
Koutunui; Large headland; koutu: headland, nui: large
Kumeroa; Long drag; kume: to pull, roa: long
Kuranui; Big red (birds); kura: red, nui: large red birds
Makakahikatoa; Striking with mānuka stick; maka: strike, kahikatoa: red mānuka (Leptospermum scoparium) or more probably a weapon made from this wood
Makarānui; Much coming and going; makarā: to come and go, nui: many
Mākikihi; Cicada stream; ma: stream, kikihi: cicada (Amphipsalta cingulata)
Mākirikiri; Gravelly stream; ma: stream: kirikiri: gravel
Mākōhine Valley; Young woman's stream; mā: stream, kōhine: girl
Mākōtuku; White heron stream; mā: stream, kōtuku: white heron
Mākōwhai; Kōwhai tree stream; Mā: stream, kōwhai: tree
Mākurī; Dog stream; mā: stream, kurī: dog
Māmāranui; Stream for many gardens; mā: stream, māra: farm or cultivation, nui: large or many
Manaroa; Enduring prestige; mana: power or prestige, roa: great or long
Mangaharakeke; Stream of flax; manga: stream, harakeke: flax bush
Mangahoe; Stream of canoe paddles; manga: stream, hoe: canoe paddle
Mangahouhounui Stream; Stream of many five finger trees; manga: stream, houhou: five-finger tree, nui: large or many
Mangaiti; Small stream; manga: stream, iti: tiny
Mangakāhia; Stream of New Zealand passionfruit; manga: stream, kāhia or kōhia: native passion vine
Mangakino; Stagnant stream; manga: stream, kino: bad, usless or stagnant
Mangakura; Stream of red ochre; manga: stream, kura: red or red ochre
Mangamāhoe; Māhoe stream; manga: stream, māhoe: native tree, whiteywood (Melicytus ramiflorus)
Mangamahu; Gentle stream; manga: stream, mahu: gentle
Mangamaire; Maire stream; manga: stream, maire: native tree
Mangamuka; Stream of the furled shoot of the nīkau palm; manga: stream, muka: the furled shoot of the nīkau palm
Mangamutu; Finished stream; manga: stream, mutu: finished
Mangangarongaro: Mangangarongaro Stream; Abated stream; manga: stream, ngarongaro: somewhat abated
Manganui-a-te-Ao; Great stream of the world; manga: stream, nui: great, a: of, te: the, ao: world
Mangaohae; The stream of Hae; manga: stream o: of, Hae
Mangaohutu; The stream of Hutu; manga: stream, o: of, Hutu
Mangaonoho; The stream of Noho; manga: stream, o: of, Noho
Mangaorapa; The stream of Rapa; manga: stream, o: of, Rapa
Mangaore; The stream where a hole was bored; manga: stream, ore: to poke with a stick, or to bore a hole
Mangaotaki; Stream of oratory; manga: stream, o: of, taki: oratory or to make a speech 
Mangaowera: Mangaowera Stream; The stream of Wera; manga: stream, o: of, Wera
Mangapai; Good stream; manga: stream, pai: good
Mangapēhi; Stream of trouble; manga: stream, pēhi: troubled
Mangapiko; Winding stream; manga: stream, piko: bent or crooked
Mangapōuri; Dark stream; manga: stream, pōuri: dark
Mangapu; Double stream; manga: stream, pū: double
Mangapuaka; Bird snare stream; manga: stream , puaka: bird snare or rimu tree
Mangapūrua; Abundant stream; manga: stream, pūrua: abundant or plenty
Mangarakau; Stream of trees; manga: stream, rākau: tree
Mangaramarama; Stream of the ramarama shrub; manga: stream, ramarama: native shrub
Mangarapa; Broad stream; manga: stream, rapa: broad or spread out
Mangarātā; Rātā stream; manga: stream, rata: native tree
Mangarawa; Swampy stream; manga: stream, rawa: swamp
Mangarimu; Rimu stream; manga: stream, rimu: native tree
Mangaroa; Long stream; manga: stream, roa: long
Mangatahi; Single stream; manga: stream, tahi: single
Mangatainoka; Native broom stream; manga: stream, tainoka: native broom
Mangatangi; Stream of weeping; manga: stream, tangi: weeping or sounding
Mangatapu; Sacred stream; manga: stream, tapu: sacred or forbidden
Mangatarata; Lemonwood stream; manga: stream, tarata: native tree known as lemonwood
Mangatāwhiri; Tāwhiri tree stream; manga: stream, tāwhiri: native tree
Mangatea; Clear stream; manga: stream, tea: white or clear
Mangateparu; Stream of mud; manga: stream, te: the paru: mud, dirt, dirty or deep
Mangatepopo; Stream of rotten items; manga: stream, te: the, popo: anything rotten or decayed
Mangateretere; Swiftly flowing river; manga: stream, teretere: swiftly flowing
Mangatī; Cabbage-tree stream; manga: stream, tī: cabbage tree
Mangatina; Exhausted at the stream; manga: stream, tina: exhausted
Mangatoetoe; Toetoe stream; manga: stream, toetoe: native grass
Mangatuna; Eel stream; manga: stream, tuna: eel
Mangawara; Quiet stream; manga: stream, wara: to make an indistinct sound
Mangaweka:; Weka stream; manga: stream, weka: wood-hen
Mangawhata; Raised storehouse stream; manga: stream, whata: a raised storehouse for food
Mangawhero; Red stream; manga: stream, whero: red
Mangōnui; Great shark; mangō: shark, nui: large or many
Mānia-rauhea; Plain of shining tussock; mānia: plain of flat land, rauhea: tussock grass
Māniatoto; Plain of blood; mānia: plain, o: of, toto: blood
Māniatutu; Tutu-tree plain; mānia: plain, tutu: a native tree
Mānui; Large stream; mā: stream, nui: large
Maraenui; Great marae; marae: courtyard or meeting area, nui: large
Maraeroa; Long marae; marae: courtyard or meeting area, roa: long
Maraetai; Coastal marae; marae: courtyard or meeting area, tai: coast
Māraroa; Long lasting cultivations; māra: cultivated area, roa: long, long lasting
Matakanui; Scarred face of a large cliff; mata: face, ka: blow or scar, nui: large
Mataroa; Long headland; mata: headland or bluff, roa: long
Maunga Mā; White mountain; maunga: mountain, mā: white
Maunga-atua; Mountain of the gods; maunga: mountain, atua: gods
Maungaharuru; Rumbling mountain; maunga: mountain, haruru: to rumble
Maungahaumi; Mountain of canoe timber; maunga: mountain, haumi: timber to lengthen or raise the sides of a canoe
Maungakaramea; Red ochre mountain; maunga: mountain, karamea: red ochre or speargrass
Maungakiekie; Kiekie plant mountain; maunga: mountain, kiekie: a climbing plant
Maunganui; Large mountain; maunga: mountain, nui: tall or large
Maungapōhatu; Rocky mountain; maunga: mountain, pōhatu: rock or stone
Maungaraki; Northern mountain; maunga: mountain or mountains, raki: north
Maungaroa; Long mountain; maunga: mountain, roa: long
Maungataketake; Broad mountain; maunga: mountain, taketake: base, long-established or well-founded
Maungataniwha; Taniwha mountain; maunga: mountain, taniwha: supernatural creature
Maungatāpere; Mountain of red volcanic earth; maunga: mountain, tāpere: red, volcanic earth
Maungatapu; Sacred mountain; maunga: mountain, tapu: sacred or forbidden
Maungatautari; Mountain of the upright stick; maunga: mountain, tautari: an upright stick
Maungatī; Cabbage tree mountain; maunga: mountain, tī: cabbage tree
Maungatua; Mountain of the gods; maunga: mountain, a: of, atua: god
Maungatūroto; Mountain standing up in lagoons; maunga: mountain, tū: to stand, roto: lake
Maungawera; Burnt mountain; maunga: mountain, wera: burnt or hot
Maungawhau; Whau tree mountain; maunga: mountain, whau: a native tree
Māwheranui; Broad and widespread (river mouth); Māwhera: open, widesread, nui: large (referring particularly to the river mouth).
Mititai; Lick the tide; miti: to lick, tai: tide
Moana; Ocean; Ocean or large lake
Moanariri; Angry sea; moana: sea, riri: to be angry or to fight
Moanaroa; Broad sea; moana: ocean, roa: large or broad
Moanawhenuapōuri; Sombre arm of the sea; moana: sea, whenua: land, pōuri: sad or dark
Moeroa; Long sleep; moe: to sleep, roa: long
Mōkihinui; Large flax-stalk raft; mōkihi: raft made of flax stalks, nui: large
Mokoroa; Long tattoo; moko: tattoo, roa: long
Mokoroa: Mokoroa Stream; Long lizard; moko: lizard, roa, long
Motuara: Motuara Island; Island in the path (of a canoe); motu: island, ara: path
Motuarohia: Motuarohia Island; Reconnoitred island; motu:island, arohia: reconnoitred
Motukairangi; Wonderful island; motu: island, kairangi: wonderful, chief, or wandering
Motukaraka; Clump of karaka trees; motu: clump of trees, karaka: native tree
Motukāranui; Island of large basalt stone; Motu: island, karā: basalt, nui: large
Motukauatiiti; Little clump of trees used for fire sticks; motu: grove of trees, kauati: rubbing stick for firemaking, iti: little
Motukauatirahi; Large clump of trees used for fire sticks; motu: grove of trees, kauati: rubbing stick for firemaking, rahi: large
Motukauri: Motukauri Island; Clump of kauri trees; motu: island, kauri: native tree
Motukiekie; Kiekie island; motu: island, kiekie: a native plant
Motukina; Kina island; motu: island or isolated headland, kina: sea urchin
Motukiore; Rat island; motu: island, kiore: native rat
Motukokopu; Cockabully island; motu: island, kokopu: cockabully fish
Motumāhanga; Twin islands; motu: island, māhanga: twin
Motumaire; Maire island; motu: island, maire: native tree
Motumaoho; Intruding clump of trees; motu: clump of trees, maoho: to intrude
Motunau; Scurvy grass island; motu: island, nau: scurvy grass
Motungārara; Lizard island; motu: island, ngārara: lizard
Motunui; Large island; motu: island, nui: large
Motuoapa; Grove of trees belonging to Apa; motu: island or grove of trees, o: of, Apa
Motu-o-Kura; Island of Kura; motu: island, o: of, Kura
Motuopuhi: Motuopuhi Island; Island of Puhi; motu: island, o: of, Puhi
Motuoroi: Motuoroi Island; Island of Roi; motu: island, o: of, Roi
Motuotaraia; Isolated area of Taraia; motu: isolated area, o: of, Taraia
Motupipi; Pipi island; motu: island, pipi: common edible shellfish
Motupiu; Swinging island; motu: island, piu: to swing
Moturoa; Long island; motu: island, roa: long
Motutaiko; Island of the black petrel; motu: island, taiko: petrel
Motutapu: Motutapu Island; Sacred island; motu: island, tapu: sacred or forbidden
Motutara: Motutara Island; Gull island; motu: island, tara: gull
Motutawa; Tawa tree island; motu: island, tawa: a tree
Motutere; Floating island; motu: island, tere: to float
Muritai; Sea breeze; muri: breeze, tai: sea or tide
Muriwai; Waters’ end; muri: end, wai: water
Ngākawau; The shags; ngā: the, kauwau: shags
Ngāmatapōuri; The black teals; ngā: the, matapōuri: black teal
Ngāmoko; The lizards; ngā: the, moko: lizards
Ngāmotu; The islands; ngā: the, motu: islands
Ngāpōhatu; The rocks; ngā: the, pōhatu: rocks
Ngāpuhi; The plumes; ngā: the, puhi: plumes
Ngāpuna; The springs; ngā, the, puna: springs
Ngārimu Bay; The rimu trees; ngā: the, rimu: native tree
Ngāroma; The currents; nga: the, roma: currents
Ngaionui; Great ngaio tree; ngaio: a native tree, nui: large or many
Ngāpuke; The hills; ngā: the, puke: hills
Ngāroto; The lakes; ngā: the, roto: lakes
Ngātira; The parties of travellers; ngā, the, tira: parties of travellers
Ngātuku; The ridges of a hill; ngā: the, tuku: ridges of a hill
Ngāūranga; The landing place for canoes; ngā: the, ūranga: landing place for canoes
Ngāurukehu; The red-haired, fair-skinned Māori; ngā: the, urukehu: red-haired, fair-skinned Māori
Ngāwaka; The canoes; ngā: the, waka: canoes
Ngāwaro; The burning coals; ngā: the, waro: burning coals
Ngāwhā; The hot springs; ngāwhā: hot springs
Ngāwhatu; The eyes; ngā: the, whatu: eyes
Ngāwī; The native tussock grass; ngā: the, wī: native tussock grass
Ngutunui; Big lips; ngutu: lip, nui: big
Nukumānia; Wide plains; nuku: wide extent, mānia: plains
Nukuroa; Long travles; nuku: to move, roa: long
Ōamaru; The place of Maru; ō: place, a: of, Maru
Ōaonui; Place of many clouds; ō: place of, ao: clouds: nui: many
Ōaro; Front-facing place; ō: place of, aro: front
Ōeo; Place of lice; ō: place of, eo: louse or lice
Ōhaeawai; Place of thermal waters; ō: place of, haeawai: thermal waters
Ohakune; Place of care; ō: place of, hakune: to be careful
Ōhāngai; Opposite place; ō: place of, hāngai: opposite, across, or at right angles
Ōhau; Place of Hau; ō: place of, Hau
Ōhauiti; Place of little wind; ō: place of, hau: wind, iti: little
Ōhaupō; Place of a breeze at night; ō: place of, hau: wind, pō: night
Ōhawe; Place of many (river) bends; ō: place of, hawe: bend in a river or path
Ōhikaiti; The place of small incantations; ō: place of, hika: a rite involving certain incantations, iti: small
Ōhikanui; The place of large incantations; ō: place of, hika: a rite involving certain incantations, nui: large
Ōhinekura; Place of Hinekura; Named after Hinekura
Ōhinepanea; Place of Hinepanea; ō: place of, Hinepanea: probably a personal name
Ōhinerau; Place of Hinerau; ō: place of, Hinerau, the goddess of whirlwinds
Ōhinerehia; Place of Hinerēhia; ō: place of, Hinerehia, a legendary creature or mermaid.
Ōhingahape; Place of a slip causing a crooked foot; ō: place of, hinga: fall, hape: crooked foot
Ōhiwa; Place of alertness; ō: place of, hiwa: watchful or alert
Ōhoka; Place of the stake for a decoy parrot; ō: place of, hoka: a stake to which a decoy kākā (parrot) was tied. Earlier spelt Hohoka
Ōhope; Place of main body of an army; ō: place of, hope (or ope): main body of an army
Ōhotu; Place of fifteenth night of the moon; ō: place of, hotu: fifteenth night of the moon
Ōhoukākā; Place of the parrot feather; ō: place of, hou: feather, kākā: parrot
Ōhura; Place which is uncovered; ō: place of, hura: to uncover, or uncovered spot
Ōihi; Place of spiritual power; ō: place of, ihi: power or authority
Ōio; Place of the spur; ō: place of, io: spur
Ōkahu; Place of Kahu; ō: place of, Kahu
Ōkahukura; Place of Kahukura; ō: place of, Kahukura: atua related to rainbow
Ōkahutai; Place of cloaking waters; ō: place, kahu: garment, tai: tide
Ōkaihae; Place of disliked food; ō: place of, kai: food, hae: to dislike
Ōkaihau; Place of feast of the winds; ō: place of, kai: to eat or food, hau: wind
Ōkarae; Place of the seabird; ō: place of, karae: a seabird
Ōkarahia; Place of a call for assistance; ō: place of, karahia: assistance called for in war, in this case in vain
Ōkareka; Sweet food for a long journey; ō: food for a long journey, kareka: sweet or tasty
Ōkārito; Place of young shoots of the bulrush; ō: place of, karito: young shoots of the bulrush or raupō
Ōkataina; Place of laughter; ō: place of, kataina: laughter
Ōkato; Place of Kato; ō: place of, Kato: a personal name
Ōkau; Place of swimming; ō: place of, kau: to swim
Ōkauia; Place of articles threaded on a stick; ō: place of, kauia: articles threaded on string or on a stick
Ōkawa; Place of bitter (water); ō: place of, kawa: bitter
Ōkehu; Place of Kehu; ō: place of, Kehu: a personal name
Ōkere; Place of drifting; ō: place of, kere: to drift or float
Ōkete; Place of baskets; ō: place of, kete: basket
Ōkiato; Place of receptable for holding sacred objects; ō: place of, kīato: a receptacle for holding sacred objects
Ōkiwi; Place of the kiwi; ō: place of, kiwi: native bird
Ōkiwi; Place of Kiwi; ō: place of, Kiwi
Ōkoki; Place of a small canoe; ō: place of, koki: a small canoe
Ōkoroire; Place of the koroire duck; ō: place of, koroire: ring-necked native duck, now extinct
Ōkōtuku; Place of the white heron; ō: place of, kōtuku: white heron
Ōkupu; Place of a message; ō: place of, kupu: message
Ōkura; Place of red (clay); ō: place, kura: red
Ōkuri; Place of the Polynesian dog; ō: place of, kurī: Polynesian dog
Ōmaha; Place of pleasure; ō: place of, maha: pleasure
Ōmahu; The place where Mahu ran out of food.; ō: place of, ō: provisions for a travelling party, Mahu: a personal name
Ōmāio; Place of calm; ō: place of, māio: calm
Ōmaka; Place of the stream; ō: place of, maka: South island form of manga (stream)
Ōmakau; Belonging to husband and wife; ō: place of, makau: spouse
Ōmakere; Place of abandonment; ō: place of, makere: to be lost, abandoned or to die
Ōmāmari; Place of Māmari canoe; ō: place of, Māmari: a famous canoe that come from Hawaiki.
Ōmana; Place of Mana; ō: place of, Mana: a personal name
Ōmanaia; Place of Manaia; ō: place of, Manaia: a personal name
Ōmanawa; Place of Manawa; ō: place of, Manawa: a personal name
Ōmanawanui; Place of unswerving dedication; ō: place of, manawanui: stout-hearted, long-suffering or forbearing
Ōmāpere; Place of cutty grass; ō: place of, māpere: cutty grass
Ōmarama; Place of Marama; ō: place of, Marama: a personal name
Ōmaru; Place of shelter; ō: place of, maru: shelter
Ōmarumutu; Place of cut-off shelter; ō: place of, maru: shade or shelter, mutu: cut off or terminated
Ōmarunui; Place of great shade; ō: place of, maru: shade, nui: great or much
Ōmarupāpaku; Place of shallow shade; ō: place of, maru: shade, pāpaku: shallow
Ōmaui; Place of Māui; ō: place of, Māui
Ōmihi; Place of greeting; ō: place of, mihi: greeting, also possibly wailing or lamentation
Ōmimi; Place of urine; ō: place o, mimi: urine
Ōmoana; Place of the sea; ō: place of, moana: ocean
Ōmoeroa; Place of the long sleep; ō: place of, moe: sleep, roa: long
Ōnaeroa; Place of mosquitoes; ō: place of, naeroa: mosquitoes
Ōnawe; Place of arson; ō: place of, nawe: to set on fire
Ōnehunga; Place of burial; ō: place of, nehunga: burial
Ōnekakā; Hot sand; one: sand, kākā: hot
Onekawa; Salty soil; one: sand, kawa: bitter or sour
Ōnekeneke; Place of movement; ō: place of, nekeneke: to move gradually
Onemaewao; Place of the Maewao (fairy-like beings); one: sand, Maewao: fairy-like beings
Oneone; Earth; oneone: earth, soil
Onepoto; Short beach; one: beach, poto: short
Onepū; Loose sandy soil; one: sand, pū: loose
Onepunui; Extensive sand dune; one: sand, pupuni: covered, fill up
Onerahi; Long beach; one: beach, rahi: long or wide
Oneriri; Battle beach; one: beach, riri: combat, battle, fight, to quarrel or be angry
Oneroa; Long beach; one: sand or beach, roa: long
Onetahua; Heaped-up sand (sand dunes); one: sand, tahua: heaped up
Onetangi; Beach of weeping; one: sandy beach, tangi: to weep or to sound
Onetapu; Sacred desert; one: sand or in this case, desert, tapu: sacred or forbidden
Onetea; Light soil; one: sandy soil, tea: light-coloured
Onewhero; Red soil; one: soil, whero: red
Ōngāroto; Place of the lakes; ō: place of, ngā: the, roto: lakes
Ōngāruānuku; Place of the learned people; ō: place, ngā, the, ruānuku: learned people
Ōngarue; Place of shaking; ō: place of, ngarue: to shake, as in an earthquake
Ōngātoro; The place of Ngātoro; ō: place of, Ngātoro: personal name
Ōnoke; Place of earthworms; ō: place of, noke: earthworm
Ōnuku; Place of Nuku; ō: place of, nuku: food for a journey
Ōpaheke; Place of a landslide; ō: place of, paheke: slip or landslide
Ōpaki; Place of fine weather; ō: place of, paki: fine weather
Ōpakū; Place of sudden noise; ō: place of, pakū: to make a sudden sound or report, to resound or to knock
Ōpanuku; Place of Panuku; ō: place of, Panuku: a personal name
Ōpapa; Place of flat land; ō: place of, papa: flat land
Ōpara; Place of mud; ō: place of, para: mud or dust, or a place where sacred ceremonies were performed
Ōpararā; A place which lies open (to the Tasman Sea); ō: place of, parara: to lie open towards
Ōparau; Place of many fortified villages; or Place of falsehood; ō: place of, pa: fortified villages, rau: many, or parau: dissembling or falsehood
Ōpārure; Place of plunder; ō: place of, pārure: to plunder
Ōpepe; Place of the moth; ō: place of, pepe: moth
Ōpihi; Place of springing-up (plants); ō: place of, pihi: springing up (referring to plants)
Ōpiki; Place of climbing; ō: place of, piki: to climb or ascend
Ōpito; Place of umbilical cords; ō: place of, pito: umbilical cord
Ōpoe; Place of Poe; ō: place of, Poe
Ōpoho; Place of Poho; ō: place of, Poho
Ōpononi; Place of crooked fishing post; ō: place of, pou: post, noni: crooked
Ōpōuri; Place of sadness; ō: place of, pōuri: sadness
Ōpoutama; Place of the poutama pattern; ō: place of, poutama: pattern on the tukutuku panels of a whare
Ōpoutere; The place (where the sea-waters) swiftly empty out; ō: place of, pou: pour out, tere: quickly
Ōpua; Place of the flower; ō: place of, pua: flower
Ōpuke; Place of the hill; ō: place of, puke: hill
Ōrākau; Place of trees; ō: place of, rakau: trees
Ōrākei; Place of adornment; ō: place of, rākei: adornment
Ōrakei Kōrako; Place of adornment near the white (sinter flat); ō: place of, rakei: adornment, kōrako: white
Ōranga; Place of rising ground; ō: place of, ranga: rising ground, hill, sandbank, or fishing ground
Ōrarī; Place of the butterfish; ō: place of, rarī: butterfish
Ōrātia; Place of long-lingering sun; ō: place of, ra: sun, tia: persistency
Ōrere; Place of the waterfall; ō: place of, rere: waterfall
Ōreti; Place of the snare; ō: place of, reti: snare
Ōringi; Place of Ringi; ō: place of, Ringi
Ōrongo; Place of the listening post; ō: place of, rongo: listening-post
Ōrongorongo; Place of Rongorongo; o: of, rongorongo: a woman’s name
Ōropi; Place of covering up; ō: place of, ropi: to cover up
Ōroua; Place of dredging for shellfish; ō: place of, roua: dredging for shellfish
Ōruaiti; Place of small pit; ō: place of, rua: pit, iti: small
Ōruanui; Place of many pits; ō: place of, rua: pit, nui: large or many
Ōruawairua; Meeting-place of spirits; ō: place of, rua: two, wairua: soul or spirit
Ōruawharo; Place of stretched-out pit; ō: place of, rua: hole or pit, whārō: stretched out in full length
Ōruawharo; Place of Ruawharo; ō: place of, Ruawharo: a personal name
Ōrukuwai; Place of Rukuwai; ō: place of, Rukuwai: a personal name
Ōruru; Place of the morepork; ō: place of, ruru: morepork
Ōrurutūmārō; Place of the unmoving morepork; ō: place of, ruru: morepork, tū: stand, mārō: firm
Ōtāhei; Place of the bird snare; ō: place of, tāhei: a bird snare
Ōtahu; Place of Tahu; ō: place of, Tahu: a personal name
